Sveiki|Привіт
Iki pasimatymo|Побачимося пізніше
Taip|Так
Ne|Ні
Prašome|Будь ласка
Ačiū|Дякую
Atsiprašome|Вибачте
Pagalba|Допоможіть
Valgykite|Їсти
Gerti|Пити
Miegoti|Спати
Bėgti|Бігати
Pasivaikščiojimas|Ходити
Šuolis|Стрибати
Sėdėti|Сидіти
Stovėti|Стояти
Sustoti|Зупинитися
Eiti|Вперед
Didelis|Великий
Mažas|Малий
Karštas|Гарячий
Šaltas|Холодний
Laimingas|Щасливий
Liūdna|Сумний
Piktas|Злий
Meilė|Любов
Neapykanta|Ненависть
Draugas|Друг
Šeima|Сім'я
Motina|Мати
Tėvas|Батько
Brolis|Брат
Sesuo|Сестра
Sūnus|Син
Dukra|Дочка
Kūdikis|Немовля
Berniukas|Хлопчик
Mergaitė|Дівчинка
Vyras|Чоловік
Moteris|Жінка
Šuo|Собака
Katė|Кішка
Paukštis|Птах
Žuvis|Риба
Medis|Дерево
Gėlė|Квітка
Saulė|Сонце
Mėnulis|Місяць
Žvaigždė|Зірка
Žemė|Земля
Vanduo|Вода
Ugnis|Вогонь
Oras|Погода
Namai|Головна
Automobilis|Автомобіль
Dviratis|Велосипед
Knyga|Книга
Rašiklis|Ручка
Pieštukas|Олівець
Popierius|Папір
Stalas|Стіл
Kėdė|Стілець
Lova|Ліжко
Vonios kambarys|Ванна кімната
Virtuvė|Кухня
Maistas|Їжа
Vaisiai|Фрукти
Daržovės|Овочі
Mėsa|М'ясо
Pienas|Молоко
Duona|Хліб
Sūris|Сир
Kiaušiniai|Яйця
Druska|Сіль
Cukrus|Цукор
Arbata|Чай
Kava|Кава
Sultys|Сік
Arbūzas|Кавун
Obuolys|Яблуко
Bananas|Банан
Apelsinų|Апельсин
Citrinų|Лимон
Vynuogės|Виноград
Pomidoras|Помідор
Bulvės|Картопля
Ryžiai|Рис
Vištiena|Курка
Jautiena|Яловичина
Žuvis|Риба
Salotos|Салати
Sriuba|Суп
Sumuštiniai|Бутерброди
Pica|Піца
Pyragas|Торти
Sausainiai|Печиво
Saldainiai|Солодощі
Ledai|Морозиво
Šokoladas|Шоколад
Saldus|Цукерки
